Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-7.537E-05,-9.877E-05,0.02006794,0,0,0,0.67789918,0.00024244,1.12E-06,1.886E-05,0.00370034,5.3E-07,0.00374356,0,0,0,0,0,0,package://hi_1_21_240731/meshes/base_link.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/base_link.STL,,base-1;5045-3;镜向5045-24,shenti,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hip_yaw_link,-0.00012202,-0.052131,-0.052735,0,0,0,0.34954,0.00025249,-4.5E-07,5.3E-07,0.00022813,-5.884E-05,0.00016829,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_hip_yaw_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_hip_yaw_link.STL,,镜向大腿2-4/镜向保存实体1[6]-1;镜向大腿2-4/镜向保存实体1[13]-1;镜向5045-27,yt-1,yt1,r_hip_yaw_joint,revolute,0.075,0,0,0,0,0,base_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
r_hip_roll_link,-0.00022682,-0.0021409,-0.00016674,0,0,0,0.67431,0.00031647,4.2E-07,3.61E-06,0.00098969,4.2E-07,0.0010163,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_hip_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_hip_roll_link.STL,,镜向大腿2-4/镜向保存实体1[3]-1;镜向大腿2-4/镜向保存实体1[9]-1;镜向5045-25;镜向5045-26;镜向大腿2-4/镜向保存实体1[5]-1;镜向大腿2-4/镜向保存实体1[7]-1,yt-23,yt2,r_hip_roll_joint,revolute,0,0,-0.059,0,0,0,r_hip_yaw_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_thigh_link,0.00051013,0.0023326,-0.096411,0,0,0,0.19993,0.00064072,2.1E-07,-9.29E-06,0.00063292,7.5E-06,3.516E-05,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_thigh_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_thigh_link.STL,,镜向大腿2-4/镜向保存实体1[2]-1;镜向大腿2-4/镜向保存实体1[12]-1;镜向大腿2-4/镜向保存实体1[16]-1;镜向大腿2-4/镜向保存实体1[14]-1;镜向大腿2-4/镜向保存实体1[11]-1;镜向大腿2-4/镜向保存实体1[10]-1;镜向大腿2-4/镜向保存实体1[4]-1;镜向大腿2-4/镜向保存实体1[1]-1,yt-23,yt3,r_thigh_joint,revolute,0,0,0,0,0,0,r_hip_roll_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_calf_link,6.957E-05,-0.00092506,-0.09475741,0,0,0,0.54984799,0.00073284,8.7E-07,-6.748E-05,0.00073948,-3.988E-05,0.00027251,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_calf_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_calf_link.STL,,镜向小腿2-4/镜向实体27-1;镜向4538-13;镜向小腿2-4/镜向07-Π-踝关节输出-2-solid1-1;镜向4538-14;镜向小腿2-4/镜向07-Π-踝关节输出-1-solid1-1;镜向小腿2-4/镜向07-Π-SI4-4-solid1-1;镜向小腿2-4/镜向07-Π-小腿连杆_2-1-solid1-1;镜向小腿2-4/镜向07-Π-SI4-3-solid1-1;镜向小腿2-4/镜向07-Π-SI4-1-solid1-1;镜向小腿2-4/镜向07-Π-小腿连杆_1-1-solid1-1;镜向小腿2-4/镜向07-Π-SI4-2-solid1-1;镜向小腿2-4/镜向实体20-1,yt-4,yt4,r_calf_joint,revolute,0,0,-0.15,0,0,0,r_thigh_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_pitch_link,0,0,0,0,0,0,0.011584,1.12E-06,0,0,4.5E-07,0,1.21E-06,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_ankle_pitch_link.STL,0.65098,0.61961,0.58824,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_ankle_pitch_link.STL,,镜向小腿2-4/镜向07-Π-6-16-1铜垫片-2-solid1-1;镜向小腿2-4/镜向07-Π-6-16-1铜垫片-1-solid1-1;镜向小腿2-4/镜向07-Π-踝关节十字轴-磁铁双编-1-solid1-1,yt-56,yt5,r_ankle_pitch_joint,revolute,0,0,-0.17545,0,0,0,r_calf_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_roll_link,2.06E-06,0.016631,-0.021104,0,0,0,0.26606,0.00039542,1E-08,-2E-08,0.00010328,2.208E-05,0.00045941,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_ankle_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/r_ankle_roll_link.STL,,镜向小腿2-4/镜向07-Π-脚踝-1-solid1-1;镜向小腿2-4/镜向07-Π-脚板-磁铁双编_块-1-solid1-1;镜向小腿2-4/镜向07-Π-脚踝轴6mm-34-1-solid1-1;镜向脚掌-5;镜向小腿2-4/镜向07-Π-8-14-4-2-solid1-1,yt-56,yt6,r_ankle_roll_joint,revolute,0,0,0,0,0,0,r_ankle_pitch_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_hip_yaw_link,6.958E-05,-0.052878,-0.052882,0,0,0,0.34954,0.00025057,2.6E-07,-3.9E-07,0.00023311,-5.987E-05,0.00016652,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_hip_yaw_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_hip_yaw_link.STL,,大腿2-1/保存实体1[6]-1;大腿2-1/保存实体1[13]-1;5045-4,zt-1,zt1,l_hip_yaw_joint,revolute,-0.075,0,0,0,0,0,base_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
l_hip_roll_link,0.00022682,-0.00198932,-0.00016674,0,0,0,0.67430799,0.00032559,-3.9E-07,-2.13E-06,0.00101903,4E-07,0.00104452,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_hip_roll_link.STL,,5045-1;5045-2;大腿2-1/保存实体1[3]-1;大腿2-1/保存实体1[9]-1;大腿2-1/保存实体1[5]-1;大腿2-1/保存实体1[7]-1,zt-23,zt2,l_hip_roll_joint,revolute,0,0,-0.059,0,0,0,l_hip_yaw_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_thigh_link,-0.00034834,0.00230115,-0.09511236,0,0,0,0.20266,0.00066685,-1.3E-07,6.17E-06,0.00065889,8.11E-06,3.611E-05,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_thigh_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_thigh_link.STL,,大腿2-1/保存实体1[2]-1;大腿2-1/保存实体1[14]-1;大腿2-1/保存实体1[16]-1;大腿2-1/保存实体1[8]-1;大腿2-1/保存实体1[11]-1;大腿2-1/保存实体1[12]-1;大腿2-1/保存实体1[1]-1;大腿2-1/保存实体1[10]-1;大腿2-1/保存实体1[4]-1,zt-4,zt4,l_thigh_joint,revolute,0,0,-0.15,0,0,0,l_hip_roll_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_calf_link,-7.122E-05,-0.00115019,-0.09475743,0,0,0,0.54984829,0.00069528,-8.7E-07,6.083E-05,0.00070372,-3.904E-05,0.00023616,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_calf_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_calf_link.STL,,小腿2-1/实体27-1;4538-1;小腿2-1/07-Π-踝关节输出-1-solid1-1;4538-2;小腿2-1/实体20-1;小腿2-1/07-Π-SI4-3-solid1-1;小腿2-1/07-Π-SI4-4-solid1-1;小腿2-1/07-Π-小腿连杆_2-1-solid1-1;小腿2-1/07-Π-踝关节输出-2-solid1-1;小腿2-1/07-Π-SI4-1-solid1-1;小腿2-1/07-Π-小腿连杆_1-1-solid1-1;小腿2-1/07-Π-SI4-2-solid1-1,zt-4,zt4,l_calf_joint,revolute,0,0,0,0,0,0,l_thigh_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_pitch_link,0,0,0,0,0,0,0.011584,1.12E-06,0,0,4.5E-07,0,1.21E-06,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_ankle_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_1_21_240731/meshes/l_ankle_pitch_link.STL,,小腿2-1/07-Π-踝关节十字轴-磁铁双编-1-solid1-1;小腿2-1/07-Π-6-16-1铜垫片-1-solid1-1;小腿2-1/07-Π-6-16-1铜垫片-2-solid1-1,zt-56,zt5,l_ankle_pitch_link,revolute,0,0,-0.17545,0,0,0,l_calf_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
