Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.025315,-4.37E-05,-0.047127,0,0,0,4.8079,0.045826,-5.2E-06,0.0002201,0.031576,5E-07,0.01864,0,0,0,0,0,0,package://hi_25dof_250607/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/base_link.STL,,简化躯干总成-urdf-1;hi二自由头部总装05110604-urdf-1/HTP-03C-02-01A-头部连接法兰010604-urdf-1;hi二自由头部总装05110604-urdf-1/250416-250407-3536_1.10604-urdf-2;髋关节5047简化-1;髋关节5047简化-2;6056简化-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_link,0,0,-0.0391895,0,0,0,1.3504342,0.0022104,0,0,0.0010637,0,0.0019106,0,0,0,0,0,0,package://hi_25dof_250607/meshes/waist_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/waist_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部base_V1.00604-urdf-2/HI-腿部固定板0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/交叉滚子6056简化-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部base_V1.00604-urdf-2/1206_HI_6056电机固定板下板1_V1.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/交叉滚子6056简化-1,waist_link,A_waist_link,waist_joint,revolute,0.027009,-4.3281E-05,-0.21115,0,0,0,base_link,0,0,-1,21,21,-3.14,3.14,,,,,,,,
l_hip_pitch_link,-0.000511,0.0399274,0,0,0,0,0.6660863,0.0004691,6E-07,0,0.000433,0,0.0004671,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_hip_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_hip_pitch_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/1206_HI_6056髋关节前法兰Pitch_V1.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/1206_HI_6056髋关节前输出Pitch_V1.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/1206_HI_6056髋关节后法兰Pitch_V1.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/6056简化-1,l_hip_pitch_link,A_l_hip_pitch_link,l_hip_pitch_joint,revolute,0,0.0575,-0.04,0,0,0,waist_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_hip_roll_link,-0.0268572,0,-0.0753647,0,0,0,0.7909034,0.0013127,0,-2.34E-05,0.0015217,0,0.0006822,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_hip_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_hip_roll_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/0221_HI_6056髋5号关节前法兰_V2.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/0108_HI_6056髋关节后法兰Roll_2.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/0108_HI_6056髋关节后法兰Yaw_V2.00604-urdf-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/6056简化-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/铝柱m3-70-d50604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/铝柱m3-70-d50604-urdf-2,l_hip_roll_link,A_l_hip_roll_link,l_hip_roll_joint,revolute,0.02725,0.042,0,0,0,0,l_hip_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_thigh_link,2.0336E-08,0.0018181,-0.032514,0,0,0,0.25619,0.0004162,0,0,0.0002596,1.71E-05,0.0002776,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_thigh_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_thigh_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/0108_HI_6056髋关节后法兰Yaw_V2.00604-urdf-3;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/0108_HI_6056髋关节前输出Yaw_V2.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/HTH 02A-05-01A-三号电机限位0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/0108_HI_6056髋关节前法兰Yaw_V2.00604-urdf-1,l_thigh_link,A_l_thigh_link,l_thigh_joint,revolute,-0.02725,0,-0.123,0,0,0,l_hip_roll_link,0,0,-1,21,21,-3.14,3.14,,,,,,,,
l_calf_link,6.8E-05,0.0310892,-0.066029,0,0,0,1.659564,0.0067809,1.6E-06,6.1E-06,0.0068344,2.32E-05,0.0009028,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_calf_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_calf_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_小腿梁左05080604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_左小腿前板0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/1206_HI_6056髋关节后输出Yaw_V1.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_小腿后支撑0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/5047正装简化-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_踝关节输出0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/5047正装简化-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_小腿踝骨0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_踝关节输出0604-urdf-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/轴套6_8_30604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/轴套6_8_30604-urdf-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/销轴M8_400604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/轴套8_10_70604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/轴套8_10_70604-urdf-2;HI_下半身装配_V1.00604-urdf-1/侧装6056简化-2,l_calf_link,A_l_calf_link,l_calf_joint,revolute,0.0015,-0.03175,-0.069,0,0,0,l_thigh_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_pitch_link,-0.0009911,2.1701E-07,-3.66E-09,0,0,0,0.013231,9E-07,0,0,2.8E-06,0,2.3E-06,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_ankle_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_ankle_pitch_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_脚部十字轴0604-urdf-1,l_ankle_pitch_link,A_l_ankle_pitch_link,l_ankle_pitch_joint,revolute,-0.0015,0.03175,-0.19945,0,0,0,l_calf_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_roll_link,-0.012597,1.1839E-07,-0.028754,0,0,0,0.40357,0.0001488,0,6.23E-05,0.000774,0,0.0007691,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_ankle_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/l_ankle_roll_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_脚掌上半前0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_脚掌上半后0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/HI_脚掌下半0604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/hiplus腰-10-22-6-7900A5DBDF02050604-urdf-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部左_V3.00604-urdf-1/hi小腿左0604-urdf-1/hiplus腰-10-22-6-7900A5DBDF02050604-urdf-5,l_ankle_roll_link,A_l_ankle_roll_link,l_ankle_roll_joint,revolute,0.0215,0,0,0,0,0,l_ankle_pitch_link,-1,0,0,21,21,-3.14,3.14,,,,,,,,
r_hip_pitch_link,0.000511,-0.0399274,0,0,0,0,0.6660863,0.0004691,6E-07,0,0.000433,0,0.0004671,0,0,0,0,0,0,package://hi_25dof_250607/meshes/r_hip_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/r_hip_pitch_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/1206_HI_6056髋关节后法兰Pitch_V1.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/6056简化-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/1206_HI_6056髋关节前输出Pitch_V1.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/1206_HI_6056髋关节前法兰Pitch_V1.00604-urdf-1,r_hip_pitch_link,A_r_hip_pitch_link,r_hip_pitch_joint,revolute,0,-0.0574999999999993,-0.0399999999999998,0,0,0,waist_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
r_hip_roll_link,-0.0276428,0,-0.0753647,0,0,0,0.7909034,0.0013127,0,2.34E-05,0.0015217,0,0.0006822,0,0,0,0,0,0,package://hi_25dof_250607/meshes/r_hip_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250607/meshes/r_hip_roll_link.STL,,HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/0108_HI_6056髋关节后法兰Yaw_V2.00604-urdf-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/0108_HI_6056髋关节后法兰Roll_2.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/铝柱m3-70-d50604-urdf-2;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/铝柱m3-70-d50604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/0221_HI_6056髋5号关节前法兰_V2.00604-urdf-1;HI_下半身装配_V1.00604-urdf-1/1206_HI_腿部右_V3.00604-urdf-1/6056简化-2,r_hip_roll_link,A_r_hip_roll_link,r_hip_roll_joint,revolute,0.02725,-0.042,0,0,0,0,r_hip_pitch_link,-1,0,0,21,21,-3.14,3.14,,,,,,,,
