Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00857731688547241,-1.57435884413756E-05,0.0358499749078448,0,0,0,0.767987723282303,0.00107349046463425,5.46129980907299E-07,-0.000109566608797626,0.00230049923376056,-1.88053464962257E-06,0.00184714463341224,0,0,0,0,0,0,package://pai_2_12_240715/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/base_link.STL,,body-1,base_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_kuan_link,-0.05302,-6.9044E-05,-0.049742,0,0,0,0.41495,0.00014662,3.1568E-08,1.0089E-06,9.0268E-05,-5.5058E-07,9.3499E-05,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_kuan_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_kuan_link.STL,,r_kuan-1,r1,1r,r_kuan_joint,revolute,-0.00312500000000175,-0.0749999999999948,-0.00900000000000054,0,0,0,base_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
r_kuan2_link,-0.00165182311958494,2.22472734678902E-11,9.01459013308153E-05,0,0,0,0.754052172373753,0.000172300621783178,-1.00230457516306E-13,4.85738731803001E-08,0.000284991278195394,-6.30364775234662E-08,0.000168111256664181,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_kuan2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_kuan2_link.STL,,r_kuan2-1,r2,2r,r_kuan2_joint,revolute,0,0,-0.0559999999999995,0,0,0,r_kuan_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_thigh_link,0.00676757251724441,0.0010496873731938,-0.0715397750030365,0,0,0,0.0987747777910596,0.000236595892338428,-1.12819458975867E-09,-8.95372146141753E-06,0.000244995363994681,2.3543908524453E-08,1.04008859990091E-05,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_thigh_link.STL,,r_thigh-1,r2,3r,r_thigh_joint,revolute,0,0,0,0,0,0,r_kuan2_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
r_calf_link,0.00281593480178929,3.03954139635465E-09,-0.0862394369816509,0,0,0,0.444942664885023,0.000112968661576375,-6.14771328120128E-12,-7.56107054802372E-07,0.000147776607396975,-3.97968917186509E-08,6.80964863575588E-05,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_calf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_calf_link.STL,,r_calf-2,r3,4r,r_calf_joint,revolute,0.00750000000000106,0,-0.149812382665787,0,0,0,r_thigh_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_link,-1.6509E-07,-3.5454E-07,1.0424E-08,0,0,0,0.0088647,2.2627E-07,8.2515E-14,-8.8688E-13,1.0036E-06,1.3362E-12,9.7263E-07,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_ankle_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_ankle_link.STL,,r_ankle-1,r4,5r,r_ankle_joint,revolute,0,0,-0.17495,0,0,0,r_calf_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
r_foot_link,0.0203048336815015,-3.18276559274633E-09,-0.0206571541127956,0,0,0,0.194105784387155,6.22980445886918E-05,2.01690770091124E-12,-1.72821103170414E-07,0.000178423270169616,-2.0303487162306E-12,0.000234748875779757,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_foot_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/r_foot_link.STL,,r_foot-2,r4,6r,r_foot_joint,revolute,0,0,0,0,0,0,r_ankle_link,-1,0,0,21,21,-3.14,3.14,,,,,,,,
l_kuan_link,-0.05302,-6.9044E-05,-0.049742,0,0,0,0.41495,0.00014662,3.1568E-08,1.0089E-06,9.0268E-05,-5.5058E-07,9.3499E-05,0,0,0,0,0,0,package://pai_2_12_240715/meshes/l_kuan_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/l_kuan_link.STL,,l_kuan-1,l1,1l,l_kuan_joint,revolute,-0.00312500000000005,0.0750000000000056,-0.00900000000000056,0,0,0,base_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
l_kuan2_link,-0.00165182311958486,2.2247287345678E-11,9.01459013308153E-05,0,0,0,0.754052172373753,0.000172300621783178,-1.00230445305323E-13,4.85738731803103E-08,0.000284991278195395,-6.30364775234683E-08,0.000168111256664181,0,0,0,0,0,0,package://pai_2_12_240715/meshes/l_kuan2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/l_kuan2_link.STL,,l_kuan2-1,l2,2l,l_kuan2_joint,revolute,0,0,-0.056,0,0,0,l_kuan_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_thigh_link,0.00676757251724439,0.00104968737319348,-0.071539775003036,0,0,0,0.0987747777910595,0.000236595892338428,-1.12819458976515E-09,-8.95372146141747E-06,0.00024499536399468,2.35439085245882E-08,1.04008859990094E-05,0,0,0,0,0,0,package://pai_2_12_240715/meshes/l_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pai_2_12_240715/meshes/l_thigh_link.STL,,l_thigh-1,l2,3l,l_thigh_joint,revolute,0,0,0,0,0,0,l_kuan2_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
