Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0019787,-0.00010049,0.05148923,0,0,0,1.28649761,0.00561051,-1.201E-05,-3.402E-05,0.00672272,8.27E-06,0.003739,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/base_link.STL,,07-Π-装配体-身体框架-1;侧装工支架0820-1;固定板0820-1;大腿膝盖0807-1/5047-062607190807-4;大腿膝盖0807_对侧-1/5047-062607190807-4,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hip_yaw_link,0.00173618,-0.0312122,-0.00030829,0,0,0,0.34618014,0.00017286,-3.5E-07,-7.7E-07,0.00016647,1.75E-06,0.00017435,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_hip_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_hip_yaw_link.STL,,大腿膝盖0807-1/串联Π-5047输出改装-1-1;大腿膝盖0807-1/串联Π-5047后法兰工装-4-1;大腿膝盖0807-1/串联Π-5047后法兰工装-1-1;大腿膝盖0807-1/5047-062607190807-1;大腿膝盖0807-1/6803轴承0807-1,yt-1,yt1,r_hip_yaw_joint,revolute,-0.0028186,-0.0482,-0.031,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_hip_roll_link,-0.025898,0.00026595,-0.061275,0,0,0,0.3854,0.00036232,1.64E-06,3.175E-05,0.00042107,2.7E-07,0.00022943,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_hip_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_hip_roll_link.STL,,大腿膝盖0807-1/串联Π-5047输出改装-2-1;大腿膝盖0807-1/串联Π-5047后输出工装-1-1;大腿膝盖0807-1/串联Π-5047后法兰工装-2-1;大腿膝盖0807-1/5047-062607190807-2,yt-2,yt2,r_hip_roll_joint,revolute,0.0245,-0.032,0,0,0,0,r_hip_yaw_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_thigh_link,0,0.01330199,-0.03045083,0,0,0,0.07450262,7.117E-05,0,0,3.643E-05,8.15E-06,5.176E-05,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_thigh_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_thigh_link.STL,,大腿膝盖0807-1/串联Π-5047输出工装-3-1;大腿膝盖0807-1/串联Π-5047输出改装-4-1;大腿膝盖0807-1/串联Π-5047后输出工装-1-2;大腿膝盖0807-1/6803轴承0807-2,yt-3,yt3,r_thigh_joint,revolute,-0.0245,0,-0.0935,0,0,0,r_hip_roll_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
r_calf_link,4.901E-05,0.023851,-0.070145,0,0,0,0.7282,0.0032286,7E-08,-8.9E-06,0.003247,1.946E-05,0.0003019,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_calf_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_calf_link.STL,,大腿膝盖0807-1/5047-斜装-3;大腿膝盖0807-1/串联Π-5047后法兰工装-3-1;小腿-1/小腿连接板0822-2;小腿-1/小腿外壳A-1;小腿-1/5047-对侧斜装-1;小腿-1/5047后法兰工装-3-1;小腿-1/6803轴承0807-2;小腿-1/小腿连接板0822-1,yt-4,yt4,r_calf_joint,revolute,0,-0.0275,-0.046,0,0,0,r_thigh_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_pitch_link,0.025777,0.028546,0,0,0,0,0.13223,9.848E-05,3.56E-06,0,7.022E-05,0,0.00013716,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_ankle_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_ankle_pitch_link.STL,,小腿-1/5047输出工装1-1;小腿-1/5047输出工装2-1;小腿-1/5047后背输出工装1-1,yt-5,yt5,r_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,r_calf_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_roll_link,0.01258312,0.00017854,-0.01689078,0,0,0,0.58347191,0.00052164,-1.83E-06,-0.00017071,0.00089826,-1E-08,0.00070959,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_ankle_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/r_ankle_roll_link.STL,,小腿-1/脚掌固定件1-1;小腿-1/脚掌-1;小腿-1/5047-062607190807-2;小腿-1/脚掌固定件2-1,yt-6,yt6,r_ankle_roll_joint,revolute,0.051,0.0275,0,0,0,0,r_ankle_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_hip_yaw_link,0.00173618,0.03062004,-0.00030829,0,0,0,0.34618014,0.00017242,-1.05E-06,-7.7E-07,0.00016647,1.88E-06,0.0001739,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/l_hip_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/l_hip_yaw_link.STL,,大腿膝盖0807_对侧-1/串联Π-镜向5047输出改装-1-1;大腿膝盖0807_对侧-1/串联Π-5047后法兰工装-4-1;大腿膝盖0807_对侧-1/串联Π-5047后法兰工装-1-1;大腿膝盖0807_对侧-1/5047-062607190807-1;大腿膝盖0807_对侧-1/6803轴承0807-1,zt-1,zt1,l_hip_yaw_link,revolute,-0.0028186,0.0482,-0.031,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_hip_roll_link,-0.025898,0.00026595,-0.061275,0,0,0,0.3854,0.00036232,1.64E-06,3.175E-05,0.00042107,2.7E-07,0.00022943,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/l_hip_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/l_hip_roll_link.STL,,大腿膝盖0807_对侧-1/串联Π-5047输出改装-2-1;大腿膝盖0807_对侧-1/串联Π-5047后输出工装-1-1;大腿膝盖0807_对侧-1/串联Π-5047后法兰工装-2-1;大腿膝盖0807_对侧-1/5047-062607190807-2,zt-2,zt2,l_hip_roll_joint,revolute,0.0245,0.032,0,0,0,0,l_hip_yaw_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_thigh_link,0,-0.013296,-0.030451,0,0,0,0.074503,7.118E-05,0,-1.0152E-20,3.643E-05,0,5.177E-05,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/l_thigh_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pai_cl_12_240823/meshes/l_thigh_link.STL,,大腿膝盖0807_对侧-1/串联Π-5047输出改装-4-1;大腿膝盖0807_对侧-1/串联Π-5047输出工装-3-1;大腿膝盖0807_对侧-1/串联Π-5047后输出工装-1-2;大腿膝盖0807_对侧-1/6803轴承0807-2,zt-3,zt3,l_thigh_joint,revolute,-0.0245,0,-0.0935,0,0,0,l_hip_roll_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
