Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0001684,-0.0004751,0.0341327,0,0,0,2.4368097,0.014549,-2.45E-05,0.0002932,0.0159795,8.97E-05,0.0048636,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/base_link.STL,,HTP 03B-01-02A箱体总成-1/HTP 02B-01-01A-箱体结构件总成.SLDPRT-1;HTP 03B-01-02A箱体总成-1/HTP 06C-01-01A塑料箱体结构-1;HTP 03B-01-02A箱体总成-1/HT 主控盒子-02B-总装-1;HTP 03B-01-02A箱体总成-1/PI  电源板_2025-04-18-1;HTP 03B-01-02A箱体总成-1/刀片插座(弯） 13P M-1;HTP 03B-01-02A箱体总成-1/HTP 02B-01-01A-前面板-1;HTP 03B-01-02A箱体总成-1/大腿线材转接-1;HTP 03B-01-02A箱体总成-1/电池-V2.0-2;HTP-02C-05-01A-胯部总成-1/PI01_2_腿部快拆-1/HTP-03C-05-01A-快固定板-1;HTP-02C-05-01A-胯部总成-1/PI01_2_腿部快拆-1/HTP-03C-05-01A-快拆身体法兰-1;HTP-02C-05-01A-胯部总成-1/HTP-03C-05-01A-胯部电机连接副板-1;HTP-02C-05-01A-胯部总成-1/髋关节5047简化-1;HTP-02C-05-01A-胯部总成-1/髋关节5047简化-2;HTP 03C-02-01A-2DOF头部-1/250416-250407-3536_1.1-2;HTP 03C-02-01A-2DOF头部-1/HTP-03C-02-01A-头部连接法兰01-1,base link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_shoulder_pitch2_link,0,0.018026,0,0,0,0,0.2174701,8.42E-05,0,0,8.33E-05,0,7.72E-05,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_shoulder_pitch2_link.STL,1,1,1,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_shoulder_pitch2_link.STL,,HTP 03C-03-01A-手臂总成（L）-1/4438正装简化模型-1;HTP 03C-03-01A-手臂总成（L）-1/HTP-03C-03-01A-手臂连接法兰01-1,l_shoulder_pitch2_link,A_l_shoulder_pitch2_link,l_shoulder_pitch2_joint,revolute,0.0020596,0.052,0.08875,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_shoulder_pitch_link,-0.00020738,0.025385,0,0,0,0,0.25794,0.0001026,2E-07,0,9.49E-05,0,0.0001091,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_shoulder_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_shoulder_pitch_link.STL,,HTP 03C-03-01A-手臂总成（L）-1/4438-横装电机模块-2/HTP-03C-03-01A-电机输出法兰01-1;HTP 03C-03-01A-手臂总成（L）-1/4438正装简化模型-4;HTP 03C-03-01A-手臂总成（L）-1/4438-横装电机模块-2/HTP-03C-03-01A-电机固定法兰01-1;HTP 03C-03-01A-手臂总成（L）-1/4438-横装电机模块-2/HTP-03C-03-01A-电机固定法兰02-1,l_shoulder_pitch_link,A_l_shoulder_pitch_link,l_shoulder_pitch_joint,revolute,0,0.0434,0,0,0,0,l_shoulder_pitch2_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_shoulder_roll_link,-0.019028,0.043883,0,0,0,0,0.29611,0.0002246,2.2E-06,0,0.0001487,0,0.0002822,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_shoulder_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_shoulder_roll_link.STL,,HTP 03C-03-01A-手臂总成（L）-1/4438-竖装电机模块-1/HTP-03C-03-01A-电机输出法兰02-1;HTP 03C-03-01A-手臂总成（L）-1/4438-竖装电机模块-1/HTP-03C-03-01A-电机固定法兰03-1;HTP 03C-03-01A-手臂总成（L）-1/4438-竖装电机模块-1/HTP-03C-03-01A-电机输出法兰03-1;HTP 03C-03-01A-手臂总成（L）-1/4438正装简化模型-5,l_shoulder_roll_link,A_l_shoulder_roll_link,l_shoulder_roll_joint,revolute,0.01995,0.029,0,0,0,0,l_shoulder_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_upper_arm_link,0,0.00020738,-0.025385,0,0,0,0.25794,0.0001091,0,0,0.0001026,2E-07,9.49E-05,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_upper_arm_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_upper_arm_link.STL,,HTP 03C-03-01A-手臂总成（L）-1/4438-横装电机模块-3/HTP-03C-03-01A-电机输出法兰01-1;HTP 03C-03-01A-手臂总成（L）-1/4438-横装电机模块-3/HTP-03C-03-01A-电机固定法兰02-1;HTP 03C-03-01A-手臂总成（L）-1/4438正装简化模型-3;HTP 03C-03-01A-手臂总成（L）-1/4438-横装电机模块-3/HTP-03C-03-01A-电机固定法兰01-1,l_upper_arm_link,A_l_upper_arm_link,l_upper_arm_joint,revolute,-0.0192000000000002,0.0813999999999958,0,1.5707963267949,0,0,l_shoulder_roll_link,0,0,-1,21,21,-3.14,3.14,,,,,,,,
l_elbow_link,0,0.019028,-0.043883,0,0,0,0.29611,0.0002822,0,0,2.2E-06,2.2E-06,0.0001487,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_elbow_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_elbow_link.STL,,HTP 03C-03-01A-手臂总成（L）-1/4438-竖装电机模块-2/HTP-03C-03-01A-电机输出法兰03-1;HTP 03C-03-01A-手臂总成（L）-1/4438-竖装电机模块-2/HTP-03C-03-01A-电机固定法兰03-1;HTP 03C-03-01A-手臂总成（L）-1/4438-竖装电机模块-2/HTP-03C-03-01A-电机输出法兰02-1;HTP 03C-03-01A-手臂总成（L）-1/4438正装简化模型-2,l_elbow_link,A_l_elbow_link,l_elbow_joint,revolute,0,-0.01995,-0.0289999999999991,0,0,0,l_upper_arm_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
l_wrist_link,-0.0073169,0.0059248,-0.025433,0,0,0,0.045211,2.63E-05,-1.7E-06,1.2E-06,2.61E-05,2.9E-06,1.37E-05,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_wrist_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_wrist_link.STL,,HTP 03C-03-01A-手臂总成（L）-1/HTP 03C-03-01A-夹爪输出电机固定法兰01-1;HTP 03C-03-01A-手臂总成（L）-1/单边夹爪_左-1/夹爪固定端左-2;HTP 03C-03-01A-手臂总成（L）-1/单边夹爪_左-1/3536_1.1-1/3536_1.1.STEP-1/3536轴承座12201.1.STEP-1;HTP 03C-03-01A-手臂总成（L）-1/单边夹爪_左-1/3536_1.1-1/3536_1.1.STEP-1/3536外壳12201.1.STEP-1,I_wrist_link,A_I_wrist_link,l_wrist_joint,revolute,0,0.0192,-0.0814,0,0,0,l_elbow_link,0,0,-1,21,21,-3.14,3.14,,,,,,,,
l_claw_link,-0.0096786,0.021208,-0.0094008,0,0,0,0.013548,5.4E-06,1.8E-06,-4E-07,2.8E-06,-1E-07,6.3E-06,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_claw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/l_claw_link.STL,,HTP 03C-03-01A-手臂总成（L）-1/单边夹爪_左-1/可动爪左-1,l_claw_link,A_l_claw_link,l_claw_joint,revolute,0.015,0,-0.027,-1.5708,0,0,l_wrist_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_shoulder_pitch2_link,0,-0.018026,0,0,0,0,0.21747,8.42E-05,0,0,8.33E-05,0,7.72E-05,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/r_shoulder_pitch2_link.STL,1,1,1,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/r_shoulder_pitch2_link.STL,,HTP 03C-04-01A-手臂总成（R）-1/4438正装简化模型-2;HTP 03C-04-01A-手臂总成（R）-1/HTP-03C-03-01A-手臂连接法兰01-1,r_shoulder_pitch2_link,A_r_shoulder_pitch2_link,r_shoulder_pitch2_joint,revolute,0.0020596,-0.052,0.08875,0,0,0,base_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
r_shoulder_pitch_link,-0.00020738,-0.025385,-2.4957E-11,0,0,0,0.25794,0.0001026,-2E-07,0,9.49E-05,0,0.0001091,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/r_shoulder_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi+_28dof_250613/meshes/r_shoulder_pitch_link.STL,,HTP 03C-04-01A-手臂总成（R）-1/4438-横装电机模块-2/HTP-03C-03-01A-电机输出法兰01-1;HTP 03C-04-01A-手臂总成（R）-1/4438-横装电机模块-2/HTP-03C-03-01A-电机固定法兰01-1;HTP 03C-04-01A-手臂总成（R）-1/4438-横装电机模块-2/HTP-03C-03-01A-电机固定法兰02-1;HTP 03C-04-01A-手臂总成（R）-1/4438正装简化模型-3,r_shoulder_pitch_link,A_r_shoulder_pitch_link,r_shoulder_pitch_joint,revolute,0,-0.0433999999999959,0,0,0,0,r_shoulder_pitch2_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
