Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.35E-05,-1.07E-05,0.0442434,0,0,0,2.0418952,0.0120071,-5.1E-06,7.45E-05,0.0127678,-1.5E-06,0.0054444,0,0,0,0,0,0,package://pi_12dof_250630/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/base_link.STL,,HTP-02C-05-01A-胯部总成-1/HT-Pi-03C-WAIST-腰部快拆-1/HTP-03C-05-01A-快固定板-1;HTP-02C-05-01A-胯部总成-1/HT-Pi-03C-WAIST-腰部快拆-1/HTP-03C-05-03A-快拆身体法兰-1;HT-Pi-03C-BODY-箱体总成-1/HTP 02B-01-01A-箱体结构件总成.SLDPRT-1/HTP 02B-01-01A-箱体固定板01-3;HTP-02C-05-01A-胯部总成-1/HTP-03C-05-01A-胯部电机连接副板-1;HTP-02C-05-01A-胯部总成-1/HTP 03C-05-02A-走线固定钣金件-2;HTP-02C-05-01A-胯部总成-1/HTP 03C-05-02A-走线固定钣金件-1;HTP-02C-05-01A-胯部总成-1/HTP 02B-05-02A-6号输出支撑件-1;HTP-02C-05-01A-胯部总成-1/HTP 02B-05-02A-6号输出支撑件-2;HT-Pi-03C-BODY-箱体总成-1/HTP 02B-01-01A-箱体结构件总成.SLDPRT-1/HTP 02B-01-02A-箱体侧板-2;HT-Pi-03C-BODY-箱体总成-1/HTP 02B-01-01A-箱体结构件总成.SLDPRT-1/HTP 02B-01-02A-箱体侧板-1;HT-Pi-03C-BODY-箱体总成-1/HTP 02B-01-01A-箱体结构件总成.SLDPRT-1/HTP 02B-01-03A-箱体固定板02-2;HT-Pi-03C-BODY-箱体总成-1/HT-Pi+ 03C-BODY-02A-箱体总成（主控盒子）-1/HT-Pi+ 02B-BODY-03A-下箱体总成-1/HT-Pi-03C-BODY-03A-塑料箱体01-1;HT-Pi-03C-BODY-箱体总成-1/HT-Pi+ 03C-BODY-02A-箱体总成（主控盒子）-1/HTP 02B-02B-上箱体总成-1/HT-Pi-03C-BODY-02B-塑料箱体02-1;HT-Pi-03C-BODY-箱体总成-1/HT-Pi+ 03C-BODY-02A-箱体总成（主控盒子）-1/HT-Pi+ 02B-BODY-03A-下箱体总成-1/HT-PB-24vPowerbattery-03A-1/HT-PB-24PW-01B-电池上壳-2;HT-Pi-03C-BODY-箱体总成-1/HT-Pi+ 03C-BODY-02A-箱体总成（主控盒子）-1/HT-Pi+ 02B-BODY-03A-下箱体总成-1/HT-PB-24vPowerbattery-03A-1/HT-PB-24PW-02A-电池卡舌-1;HT-Pi-03C-BODY-箱体总成-1/HT-Pi+ 03C-BODY-02A-箱体总成（主控盒子）-1/HT-Pi+ 02B-BODY-03A-下箱体总成-1/HT-PB-24vPowerbattery-03A-1/HT-PB-24PW-02A-电池卡舌-4;HT-Pi-03C-BODY-箱体总成-1/HT-Pi+ 03C-BODY-02A-箱体总成（主控盒子）-1/HT-Pi+ 02B-BODY-03A-下箱体总成-1/HT-Pi-03C-BODY-后盖总成-1/HT-Pi-03C-BODY-01B-塑料箱体01_后盖-1;HT-Pi-03C-BODY-箱体总成-1/HT-Pi+ 03C-BODY-02A-箱体总成（主控盒子）-1/HTP 02B-02B-上箱体总成-1/HT 主控盒子-02B-总装-1/HT 02B-主控盒子外壳01-1;HT-Pi-03C-BODY-箱体总成-1/HTP 03C-01-03A-钣金外壳-1;HT-Pi-03C-BODY-箱体总成-1/HTP 03C-01-01B-缓冲垫02-1;HT-Pi-03C-BODY-箱体总成-1/HTP 03C-01-01B-缓冲垫01-1;HT-Pi-03C-BODY-箱体总成-1/HTP 03C-01-01A-缓冲垫固定板-2;HT-Pi-03C-BODY-箱体总成-1/HTP 03C-01-01A-缓冲垫固定板-1;HTP-02C-05-01A-胯部总成-1/HT 5047电机（双端固定版本-垂直）-2;HTP-02C-05-01A-胯部总成-1/HT 5047电机（双端固定版本-垂直）-3,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_pitch_link,0.0013014,0.032205,0.0003912,0,0,0,0.39951,0.0001056,-1.5E-06,-1E-07,9.81E-05,-2E-07,0.0001261,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_hip_pitch_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_hip_pitch_link.STL,,HTP-03C-05-01A-大腿总成（L）-1/HTP-03C-05-01A-大腿电机固定法兰01-1;HTP-03C-05-01A-大腿总成（L）-1/HT-Pi-03C-LEG_L-02A-大腿电机输出法兰01-1;HTP-03C-05-01A-大腿总成（L）-1/HTP-03C-05-01A-大腿电机固定法兰02-1;HTP-03C-05-01A-大腿总成（L）-1/HT 5047电机（正装版本）-1,|_hip_pitch_link,A_|_hip_pitch_link,l_hip_pitch_joint,revolute,-0.00012614,0.0465,-0.026155,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_hip_roll_link,-0.0233996,9.54E-05,-0.06133,0,0,0,0.4853536,0.0004745,-5E-07,-2.02E-05,0.000569,2E-07,0.0002237,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_hip_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_hip_roll_link.STL,,HTP-03C-05-01A-大腿总成（L）-1/HTP-03C-05-01A-大腿电机输出法兰02-1;HTP-03C-05-01A-大腿总成（L）-1/HTP-03C-05-01A-大腿电机输出法兰03-1;HTP-03C-05-01A-大腿总成（L）-1/HTP-03C-05-01A-大腿电机固定法兰03-1;HTP-03C-05-01A-大腿总成（L）-1/HT 5047电机（标准交叉滚子版本）-1,|_hip_roll_link,A_|_hip_roll_link,l_hip_roll_joint,revolute,0.02425,0.035,0.00065509,0,0,0,l_hip_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_hip_thigh_link,0,-0.0013541,-0.023213,0,0,0,0.1087,0.0001195,0,0,5.49E-05,-3.2E-06,9.14E-05,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_hip_thigh_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_hip_thigh_link.STL,,HTP-03C-05-01A-大腿总成（L）-1/HTP-03C-05-01A-大腿电机输出法兰05-1;HTP-03C-05-01A-大腿总成（L）-1/HTP-03C-05-01A-大腿电机输出法兰03-2;HTP-03C-05-01A-大腿总成（L）-1/HT-Pi-03C-LEG_L-01A-大腿电机输出法兰04-1,|_hip_thigh_link,A_|_hip_thigh_link,l_hip_thigh_joint,revolute,-0.0245,0,-0.0977,0,0,0,l_hip_roll_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
l_hip_calf_link,-1.33E-05,-0.024184,-0.0666513,0,0,0,0.8239826,0.0038341,0,-1.55E-05,0.0038216,0,0.0001843,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_hip_calf_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_hip_calf_link.STL,,HTP-03C-05-01A-小腿总成（L）-1/HTP-03C-05-01A-小腿梁总成-2/HT-Pi-03C-05-02A-小腿电机固定法兰01-1;HTP-03C-05-01A-小腿总成（L）-1/HTP-03C-05-01A-小腿梁总成-2/HTP-03C-05-01A-小腿梁连接法兰01-2;HTP-03C-05-01A-小腿总成（L）-1/HTP-03C-05-01A-小腿梁总成-2/HTP-03C-05-01A-小腿梁-1;HTP-03C-05-01A-小腿总成（L）-1/HTP-03C-05-01A-小腿梁总成-2/HTP-03C-05-01A-小腿梁连接法兰01-1;HTP-03C-05-01A-小腿总成（L）-1/HTP-03C-05-01A-小腿梁总成-2/HT-Pi-03C-05-02A-小腿电机固定法兰01-2;HTP-03C-05-01A-小腿总成（L）-1/HTP-03C-05-01A-小腿梁总成-2/HT 5047电机（侧装版本）-3;HTP-03C-05-01A-小腿总成（L）-1/HTP-03C-05-01A-小腿梁总成-2/HT 5047电机（侧装版本）-1,|_hip_calf_link,A_|_hip_calf_link,l_hip_calf_joint,revolute,0,0.027,-0.048349,0,0,0,l_hip_thigh_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_pitch_link,0.0069349,-0.027917,-0.0033334,0,0,0,0.15648,0.0001151,-1E-06,-1E-07,0.0001831,0,0.0002664,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_ankle_pitch_link.STL,0.66667,0.69804,0.76471,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_ankle_pitch_link.STL,,HTP 02A-07-01B-脚部模块（L）-1/HTP-03C-05-02A-小腿电机输出法兰02-1;HTP 02A-07-01B-脚部模块（L）-1/HTP-03C-05-01A-小腿电机输出法兰03-1;HTP 02A-07-01B-脚部模块（L）-1/HTP-03C-05-02A-小腿电机输出法兰01-1;HTP 02A-07-01B-脚部模块（L）-1/HTP-03C-05-01A-小腿电机输出法兰04-1,|_ankle_pitch_link,A_|_ankle_pitch_link,l_ankle_pitch_joint,revolute,0,0,-0.1333,0,0,0,l_hip_calf_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
l_ankle_roll_link,-0.0072422,0.0001481,-0.0222639,0,0,0,0.7295353,0.0005325,-3.2E-06,-0.0003002,0.0017975,-1.9E-06,0.0015754,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_ankle_roll_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/l_ankle_roll_link.STL,,HTP 02A-07-01B-脚部模块（L）-1/HTP 02A-07-03A-脚部连接法兰02-1;HTP 02A-07-01B-脚部模块（L）-1/HTP 02A-07-03A-脚部连接法兰01-1;HTP 02A-07-01B-脚部模块（L）-1/5047正装-2;HTP 02A-07-01B-脚部模块（L）-1/HTP 02B-F_L-01A-串联脚掌-2/PI脚掌（urdf简化）-1;HTP 02A-07-01B-脚部模块（L）-1/PI脚掌（urdf简化）-1;HTP 02A-07-01B-脚部模块（L）-1/HTP 02B-F_L-01A-串联脚掌-2/HTP 02B-07-03B-串联脚底板-1,|_ankle_roll_link,A_|_ankle_roll_link,l_ankle_roll_joint,revolute,0.052,-0.027,-0.0033487,0,0,0,l_ankle_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_hip_pitch_link,0.0013025,-0.0322052,0.0009189,0,0,0,0.3995053,0.0001056,1.5E-06,1E-07,9.81E-05,-2E-07,0.0001261,0,0,0,0,0,0,package://pi_12dof_250630/meshes/r_hip_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/r_hip_pitch_link.STL,,HTP-03C-05-01A-大腿总成（R）-1/HT-Pi-03C-LEG_L-02A-大腿电机输出法兰01-1;HTP-03C-05-01A-大腿总成（R）-1/HTP-03C-05-01A-大腿电机固定法兰01-1;HTP-03C-05-01A-大腿总成（R）-1/HTP-03C-05-01A-大腿电机固定法兰02-1;HTP-03C-05-01A-大腿总成（R）-1/HT 5047电机（正装版本）-1,r_hip_pitch_link,A_r_hip_pitch_link,r_hip_pitch_joint,revolute,-0.00012614,-0.0465,-0.026155,0,0,0,base_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_hip_roll_link,-0.0233996,9.54E-05,-0.06133,0,0,0,0.4853536,0.0004745,-5E-07,-2.02E-05,0.000569,2E-07,0.0002237,0,0,0,0,0,0,package://pi_12dof_250630/meshes/r_hip_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/r_hip_roll_link.STL,,HTP-03C-05-01A-大腿总成（R）-1/HTP-03C-05-01A-大腿电机输出法兰02-1;HTP-03C-05-01A-大腿总成（R）-1/HTP-03C-05-01A-大腿电机输出法兰03-1;HTP-03C-05-01A-大腿总成（R）-1/HTP-03C-05-01A-大腿电机固定法兰03-1;HTP-03C-05-01A-大腿总成（R）-1/HT 5047电机（标准交叉滚子版本）-1,r_hip_roll_link,A_r_hip_roll_link,r_hip_roll_joint,revolute,0.02425,-0.035,0.00065509,0,0,0,r_hip_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_hip_thigh_link,0,0.0013541,-0.023213,0,0,0,0.1087,0.0001195,0,0,5.49E-05,3.2E-06,9.14E-05,0,0,0,0,0,0,package://pi_12dof_250630/meshes/r_hip_thigh_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://pi_12dof_250630/meshes/r_hip_thigh_link.STL,,HTP-03C-05-01A-大腿总成（R）-1/HTP-03C-05-01A-大腿电机输出法兰05-1;HTP-03C-05-01A-大腿总成（R）-1/HT-Pi-03C-LEG_L-01A-大腿电机输出法兰04-1;HTP-03C-05-01A-大腿总成（R）-1/HTP-03C-05-01A-大腿电机输出法兰03-2,r_hip_thigh_link,A_r_hip_thigh_link,r_hip_thigh_joint,revolute,-0.0245,0,-0.0977,0,0,0,r_hip_roll_link,0,0,1,21,21,-3.14,3.14,,,,,,,,
